c:\Tapestry\runs\ANTENNAPATTERN    Vehicle 1 
 Seconds      Latitude     Longitude        Alt(m)      SoG(m/s) HDG(D)     RoC(m/s)
     10.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     11.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     12.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     13.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     14.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     15.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     16.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     17.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     18.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     19.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     20.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     21.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     22.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     23.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     24.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     25.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     26.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     27.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     28.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     29.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     30.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     31.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     32.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     33.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     34.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     35.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     36.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     37.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     38.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     39.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     40.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     41.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     42.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     43.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     44.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     45.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     46.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     47.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     48.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     49.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     50.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     51.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     52.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     53.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     54.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     55.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     56.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     57.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     58.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     59.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     60.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     61.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     62.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     63.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     64.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     65.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     66.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     67.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     68.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     69.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     70.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     71.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     72.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     73.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     74.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     75.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     76.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     77.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     78.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     79.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     80.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     81.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     82.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     83.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     84.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     85.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     86.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     87.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     88.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     89.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     90.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     91.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     92.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     93.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     94.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     95.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     96.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     97.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     98.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
     99.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    100.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    101.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    102.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    103.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    104.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    105.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    106.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    107.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    108.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    109.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    110.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    111.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    112.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    113.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    114.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    115.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    116.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    117.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    118.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    119.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    120.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    121.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    122.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    123.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
    124.00   34.00000000 -118.00000000        0.000      0.000    0.000     -0.000 
